19030,12776,79,1,2693 Dance Court,Spokane,99202,Washington,WA    ,Northwest,United States,US,North America,2024-12-17 00:00:00.000,2026-01-21 00:00:00.000,1
19031,12808,7,6,7784 Door Way,Newton,V2M1P1,British Columbia,BC    ,Canada,Canada,CA,North America,2024-12-28 00:00:00.000,2029-06-22 00:00:00.000,1
19032,12827,1,6,6350 Plumas Court,Calgary,T2P 2G8,Alberta,AB    ,Canada,Canada,CA,North America,2024-11-20 00:00:00.000,2029-06-04 00:00:00.000,1
19033,12863,50,9,6665 Homestead Ave.,Darlinghurst,2010,New South Wales,NSW   ,Australia,Australia,AU,Pacific,2024-12-06 00:00:00.000,2028-09-19 00:00:00.000,1
19034,12902,79,1,3893 San Francisco,Sedro Woolley,98284,Washington,WA    ,Northwest,United States,US,North America,2024-12-31 00:00:00.000,2028-11-28 00:00:00.000,1
19035,12907,58,1,6456 Eagle Way,W. Linn,97068,Oregon,OR    ,Northwest,United States,US,North America,2024-11-04 00:00:00.000,2029-06-07 00:00:00.000,1
19036,12921,9,4,3917 Fern Leaf Lane,Burlingame,94010,California,CA    ,Southwest,United States,US,North America,2024-12-11 00:00:00.000,2029-12-11 00:00:00.000,1
19037,12992,77,9,2082 Satin Court,South Melbourne,3205,Victoria,VIC   ,Australia,Australia,AU,Pacific,2024-12-17 00:00:00.000,2026-05-30 00:00:00.000,1
19038,13032,53,8,Bundesallee 4424,Leipzig,04139,Nordrhein-Westfalen,NW    ,Germany,Germany,DE,Europe,2024-11-12 00:00:00.000,2028-09-30 00:00:00.000,1
19039,13037,14,10,8222 Northridge Road,London,SW6 SBY,England,ENG   ,United Kingdom,United Kingdom,GB,Europe,2024-11-29 00:00:00.000,2029-09-29 00:00:00.000,1
19040,13082,53,8,Heideweg 1442,Werne,59368,Nordrhein-Westfalen,NW    ,Germany,Germany,DE,Europe,2024-11-04 00:00:00.000,2026-01-12 00:00:00.000,1
19041,13135,14,10,5278 Tanager Court,London,SE1 8HL,England,ENG   ,United Kingdom,United Kingdom,GB,Europe,2024-11-05 00:00:00.000,2029-12-26 00:00:00.000,1
19042,13184,19,8,Pflugstr 8515,Frankfurt,60323,Hessen,HE    ,Germany,Germany,DE,Europe,2024-11-26 00:00:00.000,2026-01-03 00:00:00.000,1
19043,13253,79,1,5760 Las Palmas,Kirkland,98033,Washington,WA    ,Northwest,United States,US,North America,2024-12-25 00:00:00.000,2028-10-13 00:00:00.000,1
19044,13254,177,7,47, rue de Linois,Les Ulis,91940,Essonne,91    ,France,France,FR,Europe,2024-11-26 00:00:00.000,2026-06-29 00:00:00.000,1
19045,13263,64,9,6076 Citrus Ave,Brisbane,4000,Queensland,QLD   ,Australia,Australia,AU,Pacific,2024-12-20 00:00:00.000,2028-09-05 00:00:00.000,1
19046,13313,9,4,805 Stonyhill Circle,Spring Valley,91977,California,CA    ,Southwest,United States,US,North America,2024-12-06 00:00:00.000,2026-08-12 00:00:00.000,1
19047,13325,14,10,6416 Honey Court,Lancaster,LA1 1LN,England,ENG   ,United Kingdom,United Kingdom,GB,Europe,2024-12-06 00:00:00.000,2028-02-11 00:00:00.000,1
19048,13359,9,4,866, rue Basse-du-Rocher,Bellflower,90706,California,CA    ,Southwest,United States,US,North America,2024-12-26 00:00:00.000,2026-02-16 00:00:00.000,1
19049,13365,7,6,516 Oak Park Blvd.,Victoria,V8V,British Columbia,BC    ,Canada,Canada,CA,North America,2024-11-11 00:00:00.000,2028-03-30 00:00:00.000,1
19050,13415,177,7,820, avenue de Malakoff,Verrieres Le Buisson,91370,Essonne,91    ,France,France,FR,Europe,2024-11-03 00:00:00.000,2026-09-09 00:00:00.000,1
19051,13506,79,1,6384 Euclid Ave.,Yakima,98901,Washington,WA    ,Northwest,United States,US,North America,2024-11-26 00:00:00.000,2028-02-19 00:00:00.000,1
19052,13543,117,7,60bis, rue des Peupliers,Colomiers,31770,Garonne (Haute),31    ,France,France,FR,Europe,2024-11-18 00:00:00.000,2029-12-11 00:00:00.000,1
19053,13574,9,4,9715 San Francisco,Concord,94519,California,CA    ,Southwest,United States,US,North America,2024-11-09 00:00:00.000,2029-01-23 00:00:00.000,1
19054,13726,9,4,274 Diane Ct,San Diego,92102,California,CA    ,Southwest,United States,US,North America,2024-12-12 00:00:00.000,2028-02-15 00:00:00.000,1
19055,13745,161,7,33, avenue du Président-Kennedy,Paris,75010,Seine (Paris),75    ,France,France,FR,Europe,2024-12-17 00:00:00.000,2029-12-06 00:00:00.000,1
19056,13751,117,7,802, rue Descartes,Colomiers,31770,Garonne (Haute),31    ,France,France,FR,Europe,2024-12-31 00:00:00.000,2028-10-29 00:00:00.000,1
19057,13753,79,1,5496 Village Pl.,Burien,98168,Washington,WA    ,Northwest,United States,US,North America,2024-11-10 00:00:00.000,2029-12-06 00:00:00.000,1
19058,13798,79,1,700 Oaxaca,Edmonds,98020,Washington,WA    ,Northwest,United States,US,North America,2024-12-23 00:00:00.000,2028-06-02 00:00:00.000,1
19059,13800,50,9,7759 Azalea Avenue,St. Leonards,2065,New South Wales,NSW   ,Australia,Australia,AU,Pacific,2024-11-11 00:00:00.000,2028-01-21 00:00:00.000,1
19060,13897,77,9,8673 Mt. Wilson Way,Warrnambool,3280,Victoria,VIC   ,Australia,Australia,AU,Pacific,2024-11-02 00:00:00.000,2025-12-11 00:00:00.000,1
19061,13904,7,6,5068 N Francisco Way,Royal Oak,V8X,British Columbia,BC    ,Canada,Canada,CA,North America,2024-11-26 00:00:00.000,2028-12-01 00:00:00.000,1
19062,14111,79,1,2141 Banking Road,Edmonds,98020,Washington,WA    ,Northwest,United States,US,North America,2024-12-22 00:00:00.000,2029-03-03 00:00:00.000,1
