19383,21000,8314,,,9,IN  ,,Geoffrey,P,Perez,,Australia,Australia,AU,Pacific,2025-10-16 15:53:51.120,2026-09-13 15:53:51.120,1
19384,14032,10896,,,9,IN  ,,Savannah,L,Chandra,,Australia,Australia,AU,Pacific,2025-10-15 15:53:51.120,2026-03-08 15:53:51.120,1
19385,14244,20541,,,6,IN  ,,Jennifer,B,Griffin,,Canada,Canada,CA,North America,2025-02-14 15:53:51.120,2026-08-30 15:53:51.120,1
19386,29916,1247,1248,275,2,SC  ,Mr.,Kimberly,,Koch,Glossy Bikes,Northeast,United States,US,North America,2025-07-29 15:53:51.120,2025-11-27 15:53:51.120,1
19387,28185,5304,,,4,IN  ,,Kristi,S,Alexander,,Southwest,United States,US,North America,2025-06-24 15:53:51.120,2026-03-22 15:53:51.120,1
19388,22738,3449,,,4,IN  ,,Shelby,,Diaz,,Southwest,United States,US,North America,2025-09-21 15:53:51.120,2026-02-20 15:53:51.120,1
19389,18119,20396,,,4,IN  ,,Shawn,D,Nath,,Southwest,United States,US,North America,2025-09-11 15:53:51.120,2026-06-11 15:53:51.120,1
19390,18599,5754,,,1,IN  ,,Candice,J,Simmons,,Northwest,United States,US,North America,2024-12-10 15:53:51.120,2026-07-01 15:53:51.120,1
19391,27783,7468,,,10,IN  ,,Steven,,Bradley,,United Kingdom,United Kingdom,GB,Europe,2025-01-21 15:53:51.120,2025-11-11 15:53:51.120,1
19392,16357,7086,,,4,IN  ,,Margaret,,Russell,,Southwest,United States,US,North America,2024-11-05 15:53:51.120,2026-04-28 15:53:51.120,1
19393,12514,11318,,,7,IN  ,,Clayton,C,Becker,,France,France,FR,Europe,2025-03-08 15:53:51.120,2026-09-02 15:53:51.120,1
19394,20840,16639,,,7,IN  ,,Kristi,H,Xie,,France,France,FR,Europe,2024-12-06 15:53:51.120,2026-09-26 15:53:51.120,1
19395,11249,7289,,,8,IN  ,,Armando,A,Patel,,Germany,Germany,DE,Europe,2024-11-15 15:53:51.120,2026-05-25 15:53:51.120,1
19396,11432,7484,,,7,IN  ,,Mariah,L,Prasad,,France,France,FR,Europe,2025-07-08 15:53:51.120,2026-10-05 15:53:51.120,1
19397,22876,9739,,,4,IN  ,,Jenna,A,Campbell,,Southwest,United States,US,North America,2025-08-31 15:53:51.120,2026-05-24 15:53:51.120,1
19398,15823,8507,,,9,IN  ,,Joe,M,Tang,,Australia,Australia,AU,Pacific,2025-01-03 15:53:51.120,2026-02-10 15:53:51.120,1
19399,23935,12746,,,10,IN  ,,Patricia,J,Barnes,,United Kingdom,United Kingdom,GB,Europe,2025-07-20 15:53:51.120,2026-08-07 15:53:51.120,1
19400,28111,13517,,,9,IN  ,,Andy,,Zhang,,Australia,Australia,AU,Pacific,2025-10-17 15:53:51.120,2026-08-24 15:53:51.120,1
19401,14072,15854,,,9,IN  ,,Allen,,Smith,,Australia,Australia,AU,Pacific,2025-08-02 15:53:51.120,2026-07-20 15:53:51.120,1
19402,26373,9146,,,6,IN  ,,Mariah,,Reed,,Canada,Canada,CA,North America,2025-08-11 15:53:51.120,2026-03-28 15:53:51.120,1
19403,22447,19996,,,8,IN  ,,Tara,C,Shan,,Germany,Germany,DE,Europe,2025-01-16 15:53:51.120,2026-04-09 15:53:51.120,1
19404,28550,9127,,,7,IN  ,,Adrian,W,Andersen,,France,France,FR,Europe,2025-06-27 15:53:51.120,2026-05-23 15:53:51.120,1
19405,14036,3011,,,1,IN  ,,Amanda,T,Torres,,Northwest,United States,US,North America,2025-01-12 15:53:51.120,2026-07-23 15:53:51.120,1
19406,15439,15653,,,9,IN  ,,Brian,,Evans,,Australia,Australia,AU,Pacific,2025-02-13 15:53:51.120,2026-06-27 15:53:51.120,1
19407,18791,19085,,,1,IN  ,,Cedric,,Blue,,Northwest,United States,US,North America,2025-06-11 15:53:51.120,2026-02-09 15:53:51.120,1
19408,17880,10859,,,10,IN  ,,Sydney,T,Hall,,United Kingdom,United Kingdom,GB,Europe,2025-02-17 15:53:51.120,2026-05-16 15:53:51.120,1
19409,28279,13162,,,1,IN  ,,Justin,D,Simmons,,Northwest,United States,US,North America,2025-09-19 15:53:51.120,2025-11-28 15:53:51.120,1
19410,11261,9398,,,4,IN  ,,Jessica,,Collins,,Southwest,United States,US,North America,2024-11-29 15:53:51.120,2025-11-27 15:53:51.120,1
19411,197,,1188,275,3,,,,,,Fabrikam Inc., West,Central,United States,US,North America,2025-01-30 15:53:51.120,2026-02-12 15:53:51.120,1
19412,14645,14176,,,4,IN  ,,Arthur,P,Kelly,,Southwest,United States,US,North America,2024-11-03 15:53:51.120,2025-12-05 15:53:51.120,1
19413,17674,5822,,,4,IN  ,,Isaac,,Wang,,Southwest,United States,US,North America,2025-02-10 15:53:51.120,2026-01-23 15:53:51.120,1
19414,17985,3441,,,8,IN  ,,Evan,,Sun,,Germany,Germany,DE,Europe,2025-04-22 15:53:51.120,2026-02-04 15:53:51.120,1
19415,17749,17451,,,7,IN  ,,Jarrod,,Wu,,France,France,FR,Europe,2024-10-24 15:53:51.120,2026-04-30 15:53:51.120,1
19416,23190,14554,,,4,IN  ,,Janet,,Ramirez,,Southwest,United States,US,North America,2025-05-05 15:53:51.120,2026-07-16 15:53:51.120,1
19417,14842,7188,,,8,IN  ,,Mark,,Kim,,Germany,Germany,DE,Europe,2025-05-25 15:53:51.120,2026-01-03 15:53:51.120,1
19418,12544,10795,,,8,IN  ,,Bruce,E,Jordan,,Germany,Germany,DE,Europe,2025-04-01 15:53:51.120,2026-08-14 15:53:51.120,1
19419,24072,18177,,,8,IN  ,,Randy,R,He,,Germany,Germany,DE,Europe,2025-04-09 15:53:51.120,2026-09-09 15:53:51.120,1
19420,29739,861,862,281,4,SC  ,Mr.,Kaitlyn,B,Erickson,Retail Sporting Equipment,Southwest,United States,US,North America,2024-12-11 15:53:51.120,2026-05-01 15:53:51.120,1
19421,12337,2574,,,9,IN  ,,Dustin,,Goldstein,,Australia,Australia,AU,Pacific,2025-01-31 15:53:51.120,2026-05-20 15:53:51.120,1
19422,592,,1802,289,10,,,,,,Cycling Goods,United Kingdom,United Kingdom,GB,Europe,2024-12-14 15:53:51.120,2026-07-02 15:53:51.120,1
19423,21469,8750,,,4,IN  ,,Caitlin,C,Bell,,Southwest,United States,US,North America,2025-09-03 15:53:51.120,2026-09-21 15:53:51.120,1
19424,14380,8408,,,1,IN  ,,Dawn,K,Watson,,Northwest,United States,US,North America,2025-05-07 15:53:51.120,2025-12-11 15:53:51.120,1
19425,26917,14816,,,9,IN  ,,Adrian,A,Dominguez,,Australia,Australia,AU,Pacific,2024-11-24 15:53:51.120,2026-05-29 15:53:51.120,1
19426,21797,18772,,,1,IN  ,,Kelvin,P,Gao,,Northwest,United States,US,North America,2025-08-02 15:53:51.120,2026-08-17 15:53:51.120,1
19427,13124,3854,,,9,IN  ,,Marco,,Vance,,Australia,Australia,AU,Pacific,2024-12-29 15:53:51.120,2026-06-15 15:53:51.120,1
19428,12229,10526,,,8,IN  ,,Kari,,Gomez,,Germany,Germany,DE,Europe,2025-03-11 15:53:51.120,2026-02-03 15:53:51.120,1
19429,12423,12482,,,1,IN  ,,Sarah,,Thompson,,Northwest,United States,US,North America,2025-09-23 15:53:51.120,2026-08-24 15:53:51.120,1
19430,26128,16071,,,4,IN  ,,Samuel,,Phillips,,Southwest,United States,US,North America,2025-07-29 15:53:51.120,2026-05-22 15:53:51.120,1
19431,475,,874,281,4,,,,,,Real Sporting Goods,Southwest,United States,US,North America,2025-04-10 15:53:51.120,2026-02-19 15:53:51.120,1
19432,13192,17203,,,4,IN  ,,Hunter,K,Martinez,,Southwest,United States,US,North America,2024-12-15 15:53:51.120,2026-03-29 15:53:51.120,1
19433,24346,13171,,,4,IN  ,,Giorgio,,Veronesi,,Southwest,United States,US,North America,2025-02-23 15:53:51.120,2026-06-04 15:53:51.120,1
19434,24384,2617,,,7,IN  ,,Shannon,G,Pal,,France,France,FR,Europe,2025-07-06 15:53:51.120,2026-05-24 15:53:51.120,1
19435,29903,1217,1218,280,1,SC  ,Mr.,Isaac,,Kennedy,Fad Outlet,Northwest,United States,US,North America,2024-12-20 15:53:51.120,2025-11-27 15:53:51.120,1
19436,24132,4303,,,10,IN  ,,Jamie,L,Tang,,United Kingdom,United Kingdom,GB,Europe,2025-01-16 15:53:51.120,2026-09-02 15:53:51.120,1
19437,23558,12943,,,4,IN  ,,Dakota,,Barnes,,Southwest,United States,US,North America,2024-11-26 15:53:51.120,2026-03-13 15:53:51.120,1
19438,11218,11750,,,1,IN  ,,Olivia,,Brown,,Northwest,United States,US,North America,2025-09-06 15:53:51.120,2026-08-23 15:53:51.120,1
19439,29426,6835,,,7,IN  ,,Victoria,,Gomez,,France,France,FR,Europe,2024-10-30 15:53:51.120,2026-04-28 15:53:51.120,1
19440,19717,3726,,,1,IN  ,,Marcus,A,Hill,,Northwest,United States,US,North America,2025-05-19 15:53:51.120,2025-11-14 15:53:51.120,1
19441,15672,2956,,,8,IN  ,,Kelvin,E,Nara,,Germany,Germany,DE,Europe,2024-11-28 15:53:51.120,2025-11-09 15:53:51.120,1
19442,27824,9010,,,7,IN  ,,Reinout,P,Moreno,,France,France,FR,Europe,2025-06-24 15:53:51.120,2025-11-02 15:53:51.120,1
19443,23986,14032,,,10,IN  ,,Caleb,L,Torres,,United Kingdom,United Kingdom,GB,Europe,2025-05-29 15:53:51.120,2026-02-24 15:53:51.120,1
